id,_record_active,Org Name,Org ABN,Org Main Phone,Org Website,Org Industry,Org Addr Street 1,Org Addr Street 2,Org Addr Suburb,Org Addr State,Org Addr PC,Org Addr Country,Org Addr Postal Street 1,Org Addr Postal Street 2,Org Addr Postal Suburb,Org Addr Postal State,Org Addr Postal PC,Org Addr Postal Country,Org Addr for Invoice,Org Group Status,Org Group Parent,Org Group Parent ID,Org ActiveStatus,Org Business Search Words
161,1,Bestec,,08-8232-4442,www.bestec.com.au,Engineering,144 Gawler Place,,Adelaide,SA,5000,Australia,144 Gawler Place,,Adelaide,SA,5000,Australia,,,,,Active,
162,1,Better Business Basics,,,www.betterbusinessbasics.com.au,Financial services,,,Adelaide,SA,5000,Australia,,,Adelaide,SA,5000,Australia,,,,,Active,
163,1,Better Springs,,02-9623-5888,www.bettersprings.com.au,Manufacturing,PO Box 343,,St Marys,NSW,1790,Australia,PO Box 343,,St Marys,NSW,1790,Australia,,,,,Active,
165,1,Beyond Business & Accounting Services,,,,Financial services,,,,,,,,,,,,,,,,,Active,
166,1,Bianco Precast,,08-8359-0666,www.biancoprecast.com.au,Building and construction,535 Grand Junction Road,,Gepps Cross,SA,5094,Australia,535 Grand Junction Road,,Gepps Cross,SA,5094,Australia,,,,,Active,
167,1,BioSA,,,,Medical and related services,,,,,,,,,,,,,,,,,Active,
168,1,Birchmores Financial Services,,08-8364-7000,,Financial services,19 White Street,,Waikerie,SA,5330,Australia,19 White Street,,Waikerie,SA,5330,Australia,,,,,Active,
169,1,BizPsych,,,,Professional services,,,Sydney,NSW,2000,Australia,,,Sydney,NSW,2000,Australia,,,,,Active,
170,1,BlackSquid Design,,,www.blacksquid.com.au,Marketing,203 Melbourne Street,,North Adelaide,SA,5006,Australia,203 Melbourne Street,,North Adelaide,SA,5006,Australia,,,,,Active,
171,1,Blessington Judd,,,,Professional services,,,,,,,,,,,,,,,,,Active,Lawyers
172,1,Blue Point Motors (Properties) Pty Ltd,,,,Mechanic,10 Holmead Road,,Eight Mile Plains,QLD,4113,Australia,10 Holmead Road,,Eight Mile Plains,QLD,4113,Australia,,,,,Active,
173,1,Blueleaf Consulting,,13-0060-1912,,Professional services,PO Box 6348,,North Sydney,NSW,2059,Australia,PO Box 6348,,North Sydney,NSW,2059,Australia,,,,,Active,
