ID,InvoiceID_Fk,Payment Date,Payment Amount,Payment Method
96,1901,07/11/2014,3300,Cheque
97,1902,15/12/2014,940.5,Cheque
98,1828,18/11/2014,660,Credit card
99,1863,30/01/2015,572,EFT
100,1888,29/01/2015,2530,BPAY
102,1823,13/11/2014,1650,EFT
103,1851,02/02/2015,2750,Cheque
104,1893,02/02/2015,1188,Cheque
105,1897,03/02/2015,770,EFT
106,1894,04/02/2015,2463.46,EFT
107,1889,04/02/2015,1650,BPAY
108,1877,05/02/2015,2123,EFT
109,1885,09/02/2015,495,BPAY
110,1907,09/02/2015,1516.35,EFT
111,1903,02/02/2015,550,EFT
112,1899,06/02/2015,2918.3,EFT
113,1891,11/02/2015,1320,BPAY
114,1904,12/02/2015,495,EFT
115,1839,12/02/2015,660,Credit card
116,1846,12/02/2015,1540,Cheque
117,1883,12/02/2015,3305.5,Credit card
118,1912,16/02/2015,1188,EFT
119,1905,16/02/2015,1612,EFT
120,1908,16/02/2015,2640,EFT
121,1874,17/02/2015,572,EFT
122,1928,17/02/2015,3960,Cheque
123,1936,16/02/2015,330,EFT
124,1886,17/02/2015,3025,Cheque
125,1821,18/02/2015,9737.22,EFT
126,1821,18/02/2015,197.28,EFT
127,1879,19/02/2015,2738,EFT
128,1931,19/02/2015,759,Credit card
129,1857,12/01/2015,660,EFT
130,1876,19/01/2015,440,EFT
131,1896,18/02/2015,2912,EFT
132,1916,16/02/2015,1496,BPAY
133,1798,16/02/2015,787,BPAY
134,1910,16/02/2015,5584.1,BPAY
135,1909,26/02/2015,660,EFT
136,1924,27/02/2015,445.5,EFT
137,1920,27/02/2015,1650,BPAY
138,1933,27/02/2015,4299,BPAY
139,1934,26/02/2015,880,Credit card
140,1947,23/02/2015,495,EFT
141,1953,02/03/2015,495,BPAY
142,1963,02/03/2015,897,Credit card
143,1923,02/03/2015,1980,EFT
144,1922,02/03/2015,264,EFT
145,1894,03/03/2015,449.54,BPAY
146,1953,03/03/2015,693,BPAY
147,1927,03/03/2015,3399,EFT
148,1938,04/03/2015,897,EFT
149,1945,04/03/2015,3068,EFT
150,1941,04/03/2015,880,EFT
151,1915,28/02/2015,2307.92,EFT
152,1959,03/03/2015,3696,EFT
153,1960,03/03/2015,709.5,EFT
154,1958,06/03/2015,11451,BPAY
155,1930,06/03/2015,6380,Cheque
156,1956,06/03/2015,1265,Cheque
157,1951,10/03/2015,2128.5,EFT
158,1943,10/03/2015,3369.5,EFT
159,1939,06/03/2015,550,EFT
160,1964,11/03/2015,3916,EFT
161,1919,11/03/2015,1650,Credit card
162,1966,11/03/2015,1870,Credit card
163,1948,12/03/2015,4009.5,BPAY
164,1872,03/03/2015,787,BPAY
165,1969,13/03/2015,356.5,BPAY
166,1965,13/03/2015,550,EFT
167,1921,10/03/2015,1650,Credit card
168,1979,16/03/2015,1980,BPAY
169,1918,17/03/2015,1100,Cheque
170,1981,19/03/2015,10850,EFT
171,1990,17/03/2015,1100,EFT
172,1807,20/03/2015,3613.5,EFT
173,1980,20/03/2015,19162,Credit card
174,1984,20/03/2015,2750,BPAY
175,2007,23/03/2015,110,EFT
176,2008,23/03/2015,3729,EFT
177,2020,23/03/2015,5517.05,EFT
178,2002,20/03/2015,283,BPAY
179,1977,20/03/2015,1268.95,Cheque
180,1997,24/03/2015,594,BPAY
181,1998,24/03/2015,693,BPAY
182,1991,25/03/2015,113.5,EFT
183,1935,25/03/2015,2188,EFT
184,1987,26/03/2015,2200,Credit card
185,2030,27/03/2015,440,Credit card
186,1972,27/03/2015,1721.5,Credit card
187,1975,27/03/2015,701,Credit card
188,1954,27/03/2015,3910.5,Cheque
189,2017,27/03/2015,2772,Cheque
190,1949,27/03/2015,2079,Cheque
191,1994,27/03/2015,3217.5,Cheque
192,2018,02/04/2015,1311,Trust Account
194,2028,02/04/2015,75,Trust Account
195,1970,30/03/2015,550,BPAY
196,1982,30/03/2015,1219,BPAY
197,2003,31/03/2015,825,Cheque
198,2016,30/03/2015,363,EFT
199,2009,30/03/2015,330,EFT
200,2004,30/03/2015,440,EFT
201,2011,02/04/2015,396,BPAY
202,1995,01/04/2015,1145,EFT
203,1914,30/03/2015,467.5,EFT
204,2024,07/04/2015,1540,Credit card
205,2005,08/04/2015,2188,BPAY
206,2006,08/04/2015,825,BPAY
207,1985,08/04/2015,622,EFT
208,1743,09/04/2015,1089,EFT
209,1926,09/04/2015,8068.5,EFT
210,2012,09/04/2015,17445.21,EFT
211,2018,07/04/2015,4198.15,EFT
212,1806,07/04/2015,2029.5,BPAY
213,2040,07/04/2015,770,BPAY
214,2032,08/04/2015,264,BPAY
215,1944,10/04/2015,2808.5,BPAY
216,2045,13/04/2015,660,BPAY
217,2074,14/04/2015,897,Credit card
218,2050,14/04/2015,2413,BPAY
219,1940,15/04/2015,990,EFT
220,2031,15/04/2015,2200,Credit card
221,2033,07/04/2015,440,EFT
222,2075,21/04/2015,1144,Credit card
223,2053,17/04/2015,889,Cheque
224,2022,16/04/2015,1925,Cheque
225,2063,16/04/2015,660,Cheque
226,1999,15/04/2015,495,Credit card
227,2014,21/04/2015,3859,EFT
228,2087,21/04/2015,592,BPAY
229,2078,15/04/2015,7350.07,BPAY
230,1993,22/04/2015,6908,EFT
231,1967,22/04/2015,715,BPAY
232,2069,22/04/2015,550,EFT
233,2107,23/04/2015,13190.5,EFT
234,2051,23/04/2015,1210,Cash
235,2079,27/04/2015,550,Cheque
236,1962,27/04/2015,550,Credit card
237,2095,27/04/2015,440,Credit card
238,2092,27/04/2015,220,EFT
239,2027,27/04/2015,550,Credit card
240,2080,27/04/2015,1332.41,Credit card
241,2019,27/04/2015,352,BPAY
242,2044,27/04/2015,1109,BPAY
243,2082,27/04/2015,2739,BPAY
244,2090,27/04/2015,5825.12,BPAY
245,2102,27/04/2015,440,BPAY
246,2055,28/04/2015,330,BPAY
247,2067,28/04/2015,935,Cheque
248,2047,28/04/2015,4239.5,Cheque
249,2064,28/04/2015,880,Cheque
250,2119,01/05/2015,792,BPAY
251,2129,06/05/2015,1100,BPAY
252,2083,29/04/2015,1320,BPAY
253,2100,29/04/2015,1355.5,BPAY
254,2097,30/04/2015,440,BPAY
255,2043,06/05/2015,550,BPAY
256,2104,06/05/2015,1282,BPAY
257,2015,06/05/2015,1160.5,BPAY
258,2085,06/05/2015,495,Credit card
259,2103,06/05/2015,440,Credit card
260,2058,04/05/2015,4840,BPAY
261,2114,08/05/2015,4954.5,BPAY
262,2096,06/05/2015,440,EFT
263,2086,05/05/2015,220,Cheque
264,1850,29/04/2015,460,EFT
265,1850,29/04/2015,200,EFT
266,1955,11/05/2015,1452,EFT
267,2105,11/05/2015,1870,Credit card
268,2109,11/05/2015,1282,BPAY
269,2118,11/04/2015,812,BPAY
270,2122,11/05/2015,5412,BPAY
271,2111,11/05/2015,4443,EFT
272,1937,12/05/2015,1650,EFT
273,2145,13/05/2015,220,Cash
274,2056,13/05/2015,2860,Cheque
275,2128,14/05/2015,550,BPAY
276,2115,14/05/2015,616,BPAY
277,2120,12/05/2015,990,BPAY
278,2144,12/05/2015,385,BPAY
279,2048,15/05/2015,275,EFT
280,2112,15/05/2015,6550.5,EFT
281,2125,18/05/2015,5270.63,CHEQUE
282,2147,18/05/2015,660,BPAY
283,2060,18/05/2015,6435,BPAY
285,2126,19/05/2015,1760,BPAY
286,2034,19/05/2015,8652,EFT
287,2054,19/05/2015,880,EFT
288,2151,15/05/2015,220,Cheque
289,2149,15/05/2015,3613.5,BPAY
290,2137,21/05/2015,3080,Credit card
291,2138,21/05/2015,3437,Credit card
292,2093,21/05/2015,2433,Credit card
293,2156,22/05/2015,897,EFT
294,2025,22/05/2015,1870,BPAY
297,2164,26/05/2015,3102,EFT
298,2159,28/05/2015,129.8,EFT
299,2134,29/05/2015,220,Credit card
300,2158,29/06/2015,165,BPAY
301,2154,29/05/2015,2998.7,EFT
302,1986,29/05/2015,440,EFT
303,2070,01/06/2015,1447,Credit card
304,2175,01/06/2015,550,Credit card
305,2165,01/06/2015,1392,EFT
306,1898,01/06/2015,484,BPAY
307,1942,01/06/2015,990,BPAY
308,2163,02/06/2015,10275,EFT
309,2184,03/06/2015,445.5,Cheque
310,2038,04/06/2015,4246,EFT
311,1974,04/06/2015,3080,EFT
312,2162,04/06/2015,25084.3,Credit card
313,2180,04/06/2015,2729.5,EFT
314,2178,04/06/2015,660,Credit card
315,2208,04/06/2015,2631,Cheque
316,2139,05/06/2015,275,EFT
317,2177,05/06/2015,770,BPAY
318,2179,08/06/2015,1402.5,EFT
319,2157,08/06/2015,1320,Credit card
320,2131,08/06/2015,643.5,Credit card
321,2162,09/06/2015,1760,Credit card
322,2220,09/06/2015,2312.19,Credit card
323,2170,09/06/2015,2420,BPAY
324,2222,10/06/2015,308,EFT
325,2214,10/06/2015,770,EFT
326,2207,10/06/2015,1980,EFT
327,2052,10/06/2015,1447,Cheque
328,2101,10/06/2015,385,Cheque
329,2210,10/06/2015,15400,BPAY
330,2108,11/06/2015,1722,EFT
331,1973,11/06/2015,1447,EFT
332,2169,11/06/2015,2188,Credit card
333,2168,12/06/2015,2414.5,Cheque
334,1890,12/06/2015,891,EFT
335,2127,02/06/2015,1100,EFT
336,2136,12/06/2015,4400,EFT
337,2171,12/06/2015,1864.5,EFT
338,2140,12/06/2015,1355.5,Cheque
339,2187,16/06/2015,4565,BPAY
340,2065,15/06/2015,1447,Cheque
341,2143,15/06/2015,4700,Cheque
342,1996,15/06/2015,3250.5,Credit card
343,2181,15/06/2015,4417,Cheque
344,2245,18/06/2015,352,EFT
345,2035,18/06/2015,5564,BPAY
346,1861,17/06/2015,220,EFT
347,1913,17/06/2015,220,EFT
349,1831,17/06/2015,528,EFT
350,2186,17/06/2015,330,BPAY
352,2150,15/06/2015,385,EFT
353,2193,18/06/2015,3630,BPAY
354,2204,18/06/2015,1430,BPAY
355,2010,18/06/2015,4191,Cheque
356,2172,18/06/2015,4323,Cheque
357,2194,18/06/2015,3410,Cheque
358,2196,18/06/2015,2738,Cheque
359,2173,18/06/2015,2298,Cheque
360,2224,19/06/2015,440,BPAY
361,2213,19/06/2015,1892,EFT
363,2234,23/06/2015,1320,BPAY
364,2161,24/06/2015,3300,BPAY
365,2231,24/06/2015,275,BPAY
366,2142,22/06/2015,495,BPAY
367,2225,22/06/2015,990,
368,2230,22/06/2015,1210,EFT
369,2260,24/06/2015,2145,EFT
370,2167,25/06/2015,742.5,EFT
371,2250,25/06/2015,1088,EFT
373,2239,25/06/2015,1320,BPAY
374,2217,26/06/2015,1684,EFT
375,2268,26/06/2015,247.5,EFT
376,2233,26/06/2015,880,Cheque
377,2253,26/06/2015,1353,Cheque
378,2212,26/06/2015,955.35,BPAY
379,2190,29/06/2015,440,Credit card
380,1906,29/06/2015,220,Credit card
381,2261,29/06/2015,880,EFT
382,2091,29/06/2015,891,EFT
383,2209,29/06/2015,396,BPAY
384,2255,29/06/2015,2574,BPAY
385,2229,30/06/2015,1282,EFT
386,2189,30/06/2015,440,EFT
387,2205,30/06/2015,495,EFT
388,1805,30/06/2015,1282,BPAY
389,2249,30/06/2015,1980,BPAY
390,2266,30/06/2015,1667,BPAY
391,2232,01/07/2015,880,BPAY
392,2192,01/07/2015,1991,BPAY
393,2292,03/07/2015,257.6,EFT
394,2130,03/07/2015,456.15,EFT
396,2264,03/07/2015,1655.5,EFT
397,2270,03/07/2015,6380,BPAY
398,2244,06/07/2015,113.5,EFT
399,2273,06/07/2015,113.5,EFT
400,2240,06/07/2015,2164,EFT
401,2121,06/07/2015,1320,BPAY
402,2124,06/07/2015,2200,BPAY
403,2247,06/07/2015,440,BPAY
404,2248,06/07/2015,440,BPAY
405,2269,06/07/2015,363,BPAY
406,2284,08/07/2015,2538.5,Credit card
407,2321,17/07/2015,4400,Trust Account
408,2202,08/07/2015,495,EFT
409,2267,08/07/2015,1447,EFT
410,2278,08/07/2015,5360.45,EFT
411,2188,03/07/2015,495,EFT
412,2288,07/07/2015,3839,EFT
413,2262,10/07/2015,2894,BPAY
414,2282,10/07/2015,352,BPAY
415,2258,13/07/2015,3068,BPAY
416,2271,13/07/2015,3190,BPAY
417,2331,15/07/2015,484,BPAY
418,2306,14/07/2015,1320,EFT
419,2329,16/07/2015,1980,EFT
420,2309,13/07/2015,1831.5,EFT
421,2259,13/07/2015,990,Credit card
422,2264,10/07/2015,1082.5,Cheque
423,2272,10/07/2015,1966.5,EFT
424,2094,02/07/2015,12170,EFT
425,2146,02/07/2015,1065,EFT
426,1925,26/06/2015,1501.5,EFT
427,1819,26/06/2015,8365.5,EFT
428,2238,26/06/2015,7095,EFT
429,2023,09/06/2015,660,EFT
430,2166,04/06/2015,605,BPAY
431,2185,01/06/2015,1210,EFT
432,2174,29/05/2015,495,EFT
434,1870,09/02/2015,1667,EFT
435,2113,12/05/2015,5641,EFT
436,2152,27/05/2015,3367.32,EFT
437,2147,01/06/2015,660,EFT
438,2036,13/04/2015,660,EFT
439,2026,17/04/2015,1557,BPAY
440,2000,30/03/2015,330,EFT
441,1884,26/02/2015,129.8,EFT
442,1950,09/04/2015,6225,eft
443,2148,26/05/2015,2564,cheque
444,2041,17/04/2015,1650,BPAY
445,2263,08/07/2015,12964,EFT
446,2073,25/03/2015,801.29,Credit card
448,1772,27/03/2015,825,Credit card
449,1971,14/04/2015,1936,EFT
450,1774,29/04/2015,440,EFT
451,2116,30/04/2015,1668,eft
452,2133,24/05/2015,2750,EFT
453,1825,23/02/2015,4400,EFT
454,2182,03/07/2015,660,EFT
455,2297,14/07/2015,433,EFT
456,2265,16/07/2015,3004,BPAY
457,2346,16/07/2015,880,BPAY
458,2343,17/07/2015,1545.5,Credit card
459,2251,17/07/2015,275,EFT
460,2135,17/07/2015,1633.5,BPAY
461,2302,16/07/2015,3263,Cheque
462,2295,16/07/2015,660,EFT
463,2327,20/07/2015,4736.2,BPAY
464,2355,20/07/2015,440,Credit card
465,2216,20/07/2015,990,Credit card
466,2274,20/07/2015,1012,EFT
467,2334,20/07/2015,880,EFT
468,2283,20/07/2015,660,Cheque
469,2308,20/07/2015,643.5,EFT
470,2311,20/07/2015,396,EFT
471,2277,21/07/2015,440,EFT
472,2319,21/07/2015,572,EFT
473,2324,21/07/2015,1247.5,EFT
474,2291,21/07/2015,2738,BPAY
475,2350,21/07/2015,440,BPAY
476,2325,22/07/2015,7147,Cheque
477,2348,22/07/2015,8015.6,Cheque
478,2303,22/07/2015,2325.4,BPAY
479,2310,28/07/2015,5247,EFT
480,2332,28/07/2015,434.5,EFT
481,2361,28/07/2015,113.5,EFT
482,1983,27/07/2015,1980,EFT
483,2341,27/07/2015,1288,EFT
484,2305,24/07/2015,1540,Cheque
485,2371,23/07/2015,1134,BPAY
486,2339,23/07/2015,1134,BPAY
487,2206,27/07/2015,787,BPAY
488,2066,28/07/2015,4400,BPAY
490,2351,23/07/2015,7260,EFT
491,2385,29/07/2015,440,Credit card
492,2281,28/07/2015,1364,EFT
494,2226,28/07/2015,1683,EFT
495,2316,29/07/2015,1287,Cheque
496,2218,30/07/2015,467.5,EFT
497,2344,30/07/2015,1210,BPAY
498,2347,30/07/2015,6631.09,Cheque
499,1749,31/07/2015,165,EFT
500,2312,22/07/2015,1999,BPAY
501,2360,31/07/2015,5896,cheque
502,2228,02/07/2015,1820,EFT
503,2296,02/07/2015,440,EFT
504,2356,03/08/2015,2768,Credit card
505,2366,03/08/2015,599.5,BPAY
506,2352,03/08/2015,2640,BPAY
507,2370,25/09/2015,550,EFT
508,2402,25/09/2015,897,EFT
509,2298,05/08/2015,1650,EFT
510,2336,05/08/2015,246,EFT
511,2285,05/08/2015,1320,Cheque
512,2384,05/08/2015,1013,Credit card
513,2393,05/08/2015,330,Credit card
514,2062,06/08/2015,842,EFT
515,2359,06/08/2015,4400,EFT
516,2289,07/08/2015,3960,BPAY
517,2317,07/08/2015,2649,BPAY
518,2333,07/08/2015,2104,BPAY
519,2183,07/08/2015,1557,BPAY
520,2400,10/08/2015,903,EFT
521,2363,10/08/2015,1056,Credit card
522,2243,10/08/2015,1650,EFT
523,2313,10/08/2015,4873.85,Credit card
524,2342,10/08/2015,440,BPAY
525,2376,10/08/2015,1320,BPAY
526,1992,10/08/2015,704,EFT
527,2335,10/08/2015,330,EFT
528,2353,10/08/2015,550,EFT
529,2227,11/08/2015,440,EFT
530,1782,12/08/2015,1375,EFT
531,2380,12/08/2015,990,BPAY
532,2404,12/08/2015,7583,BPAY
533,2425,17/08/2015,165,BPAY
534,2322,17/08/2015,746.7,Credit card
535,2422,17/08/2015,1204.5,EFT
536,2439,17/08/2015,440,EFT
537,2387,17/08/2015,4147,Credit card
538,2437,17/08/2015,1479.5,BPAY
539,2029,13/08/2015,2420,BPAY
540,2438,14/08/2015,5890.5,EFT
541,2369,14/08/2015,874.5,EFT
542,2416,13/08/2015,5139.8,EFT
543,1763,13/08/2015,440,EFT
544,2294,17/08/2015,902.5,Cheque
545,2368,17/08/2015,951.5,Cheque
546,1976,18/08/2015,880,EFT
547,2013,18/08/2015,990,EFT
548,1900,18/08/2015,1188,EFT
549,2336,19/08/2015,200,EFT
550,2408,19/08/2015,440,BPAY
551,2117,19/08/2015,2200,EFT
552,2340,19/08/2015,1288,Credit card
553,2021,19/08/2015,990,Credit card
554,2276,19/08/2015,550,Credit card
555,2068,19/08/2015,990,Credit card
556,2441,20/08/2015,7570.67,BPAY
557,2071,19/08/2015,897,Cheque
558,2378,21/08/2015,1434.5,EFT
559,2411,21/08/2015,1650,Cheque
560,2431,20/08/2015,1980,Credit card
561,2293,24/08/2015,165,EFT
562,2392,24/08/2015,1061.5,EFT
563,2399,24/08/2015,1288,EFT
564,2415,24/08/2015,3080,Credit card
565,2443,24/08/2015,3520,EFT
566,2447,25/08/2015,1100,BPAY
567,1880,26/08/2015,330,
568,1881,26/08/2015,660,
569,2338,26/08/2015,2209,Credit card
570,2367,26/08/2015,1485,Credit card
571,2364,27/08/2015,372.15,Cheque
572,2454,26/08/2015,440,BPAY
573,2395,27/08/2015,220,BPAY
574,2452,27/08/2015,330,BPAY
575,2433,19/08/2015,1288,EFT
576,2374,20/08/2015,440,eft
577,2409,20/08/2015,440,eft
578,2397,13/08/2015,3571,overpayment 11/8/2014 (EFT)
579,2386,18/08/2015,2574,cheque
580,2057,09/04/2015,880,eft
581,2088,07/08/2015,1980,trust
582,1968,17/04/2015,660,bpay
583,1917,25/02/2015,440,cheque
585,2410,17/08/2015,550,EFT
586,2410,31/08/2015,550,EFT
587,2420,28/08/2015,688,EFT
588,2440,28/08/2015,1320,EFT
589,2481,31/08/2015,1210,EFT
590,2462,01/09/2015,2487.52,EFT
591,2089,01/09/2015,363,BPAY
592,2475,01/09/2015,792,EFT
593,2417,26/08/2015,2090,Credit card
594,1833,05/12/2014,2200,eft
595,1832,05/12/2014,2530,eft
596,1793,19/01/2015,30.74,
597,2451,02/09/2015,588,EFT
598,2336,02/09/2015,200,EFT
599,2469,02/09/2015,4939.7,EFT
600,2490,03/09/2015,440,EFT
601,2280,03/09/2015,1320,EFT
602,2072,03/09/2015,1600,EFT
603,2465,31/08/2015,4969,EFT
604,2418,03/09/2015,2420,Cheque
605,2419,04/09/2015,594,EFT
606,2362,04/09/2015,880,Credit card
607,2474,04/09/2015,3250.5,EFT
608,2468,04/09/2015,4730,Cheque
609,2483,04/09/2015,5247,BPAY
610,2180,04/09/2015,1890.5,Cheque
611,2488,04/09/2015,23407.79,Cheque
612,2215,04/09/2015,10020.25,Cheque
613,2072,03/09/2015,0.5,Cash
614,2390,07/09/2015,660,EFT
615,2501,07/09/2015,6600,EFT
616,2197,08/09/2015,787,BPAY
617,2377,08/09/2015,847,EFT
618,1818,09/02/2015,330,EFT
619,1818,08/09/2015,1794,EFT
620,2477,09/09/2015,1152,EFT
621,1989,06/08/2015,275,EFT
622,2424,10/09/2015,693,EFT
623,2479,10/09/2015,1056,Credit card
624,2482,10/09/2015,2310,EFT
625,2450,10/09/2015,3300,EFT
626,2290,14/09/2015,3850,BPAY
627,2432,14/09/2015,880.4,BPAY
628,2453,14/09/2015,18727.5,EFT
629,2520,11/09/2015,1453,EFT
630,2407,15/09/2015,660,BPAY
631,2498,15/09/2015,594,EFT
632,2515,15/09/2015,9531.5,EFT
633,2487,16/09/2015,550,EFT
634,2336,16/09/2015,200,EFT
635,2485,16/09/2015,643.5,EFT
636,2471,16/09/2015,1980,Cheque
637,2456,16/09/2015,3850,EFT
638,2448,16/09/2015,180,EFT
639,2489,16/09/2015,240.3,EFT
640,2480,16/09/2015,104.5,EFT
641,2477,14/09/2015,1152,EFT
642,2477,14/09/2015,1152,BPAY
643,2507,17/09/2015,869,EFT
644,2423,17/09/2015,495,Credit card
645,2478,17/09/2015,663.52,Credit card
646,2298,17/09/2015,1650,Credit card
647,2493,21/09/2015,973.5,EFT
648,2486,21/09/2015,7392,BPAY
649,2042,22/09/2015,742.5,EFT
650,1961,22/09/2015,2446.5,EFT
651,2463,22/09/2015,3385,EFT
652,2457,22/09/2015,1100,EFT
653,2357,24/09/2015,1980,Cheque
654,2514,09/09/2015,1545.5,Credit card
655,2543,25/09/2015,385,BPAY
656,2537,28/09/2015,1485,EFT
657,2466,28/09/2015,3263.2,EFT
658,2467,28/09/2015,3269.45,EFT
659,2373,29/09/2015,903,Credit card
660,2521,30/09/2015,2041.5,Cheque
661,2492,30/09/2015,1881,Cheque
662,2527,30/09/2015,953,EFT
663,2546,30/09/2015,1443.9,EFT
664,2081,19/08/2015,1447,EFT
665,2491,23/09/2015,3311.22,Cheque
666,2495,11/09/2015,1903,Cheque
667,2542,24/09/2015,2242.54,Cheque
668,2336,30/09/2015,200,EFT
669,2504,01/10/2015,2916.7,Cheque
670,2575,01/10/2015,4509,Cheque
671,2580,01/10/2015,1138.5,EFT
672,2598,20/11/2015,429,EFT
673,2318,02/10/2015,968,EFT
674,2556,02/10/2015,7878,BPAY
675,2539,05/10/2015,1364,BPAY
676,2559,05/10/2015,1453,BPAY
677,2549,06/10/2015,495,BPAY
678,2534,06/10/2015,165,Credit card
679,2554,06/10/2015,1540,EFT
680,1768,02/10/2015,6820,EFT
681,2028,02/10/2015,6216.74,EFT
682,2123,02/10/2015,3949,EFT
683,2211,02/10/2015,4576,EFT
684,2300,02/10/2015,12446.5,EFT
685,2444,02/10/2015,13254.19,EFT
686,2587,08/10/2015,5098.5,EFT
687,2600,09/10/2015,165,BPAY
688,2550,09/10/2015,465.8,BPAY
689,2555,09/10/2015,4406,BPAY
690,2585,09/10/2015,5747.5,BPAY
691,2513,01/10/2015,1805,BPAY
692,2555,12/10/2015,4406,BPAY
693,2581,12/10/2015,1288,BPAY
694,2553,07/10/2015,1320,Credit card
695,2571,06/10/2015,330,Cheque
696,2511,12/10/2015,1237.5,Cheque
697,2572,12/10/2015,2224.63,EFT
698,2548,13/10/2015,1485,EFT
699,2464,13/10/2015,5742,EFT
700,2336,14/10/2015,200,EFT
701,2497,25/09/2015,396,EFT
702,2547,28/09/2015,440,bpay
703,2531,09/10/2015,3234,EFT
704,2536,14/10/2015,4504.5,cheque
705,2573,15/10/2015,396,EFT
706,2502,16/10/2015,660,EFT
707,2616,16/10/2015,1254,EFT
708,2597,16/10/2015,1980,EFT
709,2526,16/10/2015,901,EFT
710,2449,16/10/2015,49.17,EFT
711,2375,16/10/2015,877,EFT
712,2506,22/09/2015,1100,eft
713,2508,28/09/2015,132,eft
714,2503,23/09/2015,1980,eft
715,2533,28/09/2015,330,eft
716,1871,01/06/2015,1447,amex
717,2519,25/09/2015,3833.5,eft
718,1952,27/02/2015,891,cheque
719,2576,19/10/2015,1320,EFT
720,2599,19/10/2015,2860,EFT
721,2561,19/10/2015,4250,EFT
722,2583,13/10/2015,2772,EFT
723,2584,16/10/2015,1705,EFT
724,2558,16/10/2015,2200,EFT
725,2560,12/10/2015,440,EFT
726,2528,12/10/2015,990,EFT
727,2615,19/10/2015,1453,BPAY
728,2551,19/10/2015,1138.5,EFT
729,2606,20/10/2015,8662.5,BPAY
730,2595,20/10/2015,1155,Credit card
731,2565,20/10/2015,1848,EFT
732,2604,27/10/2015,138,Credit card
733,2575,22/10/2015,4599,BPAY
734,2601,22/10/2015,165,BPAY
735,2610,22/10/2015,2068,EFT
736,2590,26/10/2015,385,BPAY
737,2636,26/10/2015,500,BPAY
738,2509,27/10/2015,218.75,BPAY
739,2605,27/10/2015,3109,EFT
740,1821,29/10/2015,361.5,write off approved by AA
741,2510,28/10/2015,1386,EFT
742,2472,29/10/2015,8360,BPAY
743,2640,29/10/2015,2539,BPAY
744,2663,29/10/2015,2200,BPAY
745,2512,29/10/2015,467.5,EFT
746,2336,28/10/2015,200,EFT
747,2591,28/10/2015,231,Cheque
748,2321,08/10/2015,4684.5,BPAY
749,2500,08/10/2015,495,BPAY
750,2633,28/10/2015,2576,BPAY
751,2476,30/10/2015,990,Credit card
752,2619,30/10/2015,1298,BPAY
753,2650,30/10/2015,1668,EFT
754,2446,28/09/2015,903,BPAY
